Index,ST_NAME,YEAR,AC,CANDIDATE,SEX,AGE,CATEGORY,PARTY,VOTES
185142,MADHYA PRADESH,1972,4 JOURA,10 RADHESHYAM SHARMA,M,null,null,IND,731
185143,MADHYA PRADESH,1972,5 MORENA,1 MAHARAJ SINGH,M,null,null,BJS,12393
185144,MADHYA PRADESH,1972,5 MORENA,2 SUDHA BANSAL,M,null,null,CPI,10290
185145,MADHYA PRADESH,1972,5 MORENA,3 CHOK ELAL,M,null,null,SOP,7923
185146,MADHYA PRADESH,1972,5 MORENA,4 HARIRAM SINGH SARRAF,M,null,null,IND,5407
185147,MADHYA PRADESH,1972,5 MORENA,5 RAM RATAN SINGH,M,null,null,IND,4311
185148,MADHYA PRADESH,1972,5 MORENA,6 SHANKAR SINGH,M,null,null,IND,4007
185149,MADHYA PRADESH,1972,5 MORENA,7 SOVARAN SINGH,M,null,null,SWA,418
185150,MADHYA PRADESH,1972,5 MORENA,8 MOHAN SINGH,M,null,null,IND,378
185151,MADHYA PRADESH,1972,6 DIMANI,1 CHHAWI RAM,M,null,null,BJS,13121
185152,MADHYA PRADESH,1972,6 DIMANI,2 AMRAIYA SUMER SINGH,M,null,null,INC,7535
185153,MADHYA PRADESH,1972,6 DIMANI,3 BHAGRI,M,null,null,SWA,1797
185154,MADHYA PRADESH,1972,6 DIMANI,4 BABU PAL,M,null,null,IND,1227
185155,MADHYA PRADESH,1972,6 DIMANI,5 TOTA RAM,M,null,null,IND,717
185156,MADHYA PRADESH,1972,6 DIMANI,6 CHHOTAIYA,M,null,null,IND,674
185157,MADHYA PRADESH,1972,6 DIMANI,7 BHOJ RAJ,M,null,null,IND,636
185158,MADHYA PRADESH,1972,6 DIMANI,8 VIDYA RAM,M,null,null,IND,162
185159,MADHYA PRADESH,1972,7 AMBAH,1 RAJA RAM SINGH,M,null,null,INC,13421
185160,MADHYA PRADESH,1972,7 AMBAH,2 NATHU RAM,M,null,null,BJS,10470
185161,MADHYA PRADESH,1972,7 AMBAH,3 SHREE LAL,M,null,null,IND,4545
185162,MADHYA PRADESH,1972,7 AMBAH,4 RAM SINGH,M,null,null,SWA,3011
185163,MADHYA PRADESH,1972,8 GOHAD,1 BHURE LAL,M,null,null,BJS,22428
185164,MADHYA PRADESH,1972,8 GOHAD,2 PRABHU DAYAL,M,null,null,INC,21112
185165,MADHYA PRADESH,1972,8 GOHAD,3 BAL RAM SHAKYA,M,null,null,NCO,1274
185166,MADHYA PRADESH,1972,8 GOHAD,3 BAL RAM SHAKYA,M,null,null,NCO,1274
185167,MADHYA PRADESH,1972,8 GOHAD,4 PEHLU RAM,M,null,null,SWA,747
185168,MADHYA PRADESH,1972,9 MEHGAON,1 RAMESHWAR DAYAL DANTRE,M,null,null,SOP,24534
185169,MADHYA PRADESH,1972,9 MEHGAON,2 RAI SINGH BHADORIYA,M,null,null,INC,20999
185170,MADHYA PRADESH,1972,9 MEHGAON,3 CHHAVI RAM,M,null,null,IND,1440
185171,MADHYA PRADESH,1972,9 MEHGAON,4 NIRANJAN SINGH,M,null,null,IND,1159
185172,MADHYA PRADESH,1972,9 MEHGAON,5 KALICHARAN SINGH,M,null,null,IND,451
185173,MADHYA PRADESH,1972,10 ATTAIR,1 RAMESHWAR DAYAL ARELE,M,null,null,INC,15247
185174,MADHYA PRADESH,1972,10 ATTAIR,2 MAN SINGH,M,null,null,BJS,10817
185175,MADHYA PRADESH,1972,10 ATTAIR,3 SATYA NARAYAN,M,null,null,IND,4386
185176,MADHYA PRADESH,1972,10 ATTAIR,4 RAM SANEHI,M,null,null,IND,4150
185177,MADHYA PRADESH,1972,10 ATTAIR,5 RAMESHWAR,M,null,null,IND,4081
185178,MADHYA PRADESH,1972,10 ATTAIR,6 TIKA RAM SINGH,M,null,null,IND,3697
